dish1,dish2,dish3,dish4,dish5,dish6,dish7,pie,time,breakfast,Bread,cookorclean,doing,napchance
Turkey, Ham, Mac and Cheese,,,,,Pumpkin,After 6 PM,Yes,Cornbread,Cook,Something else...,1
Turkey, Ham, Mashed Potatoes,,,,,Pumpkin w/ Whipped Cream,12-3,Yes,Cornbread,Cook,Watching the parade,1
Turkey, Ham, Mashed Potatoes, Yams/Sweet Potatoes, Stuffing/Dressing, Mac and Cheese,,Apple w/ ice cream,12-3,No,Cornbread,Cook,Playing card games with the family,3
Turkey, Green Bean Casserole, Cranberry Sauce, Mac and Cheese,,,,Apple w/ ice cream,After 6 PM,Yes,Cornbread,Clean,Watching the Packers play the Lions,1
Turkey, Mashed Potatoes, Mac and Cheese,,,,,Apple w/ ice cream,After 6 PM,Yes,Dinner rolls,Cook,Something else...,1
Turkey, Mashed Potatoes,,,,,,Pumpkin w/ Whipped Cream,After 6 PM,Yes,Biscuits,Cook,Something else...,2
Mashed Potatoes, Stuffing/Dressing, Mac and Cheese,,,,,Pumpkin w/ Whipped Cream,After 6 PM,No,Dinner rolls,Cook,Playing card games with the family,4
Turkey, Mashed Potatoes, Stuffing/Dressing, Mac and Cheese,,,,Apple w/ ice cream,After 6 PM,Yes,Dinner rolls,Cook,Playing card games with the family,4
Turkey, Mashed Potatoes, Stuffing/Dressing, Green Bean Casserole, Mac and Cheese,,,Pecan,After 6 PM,Yes,Cornbread,Cook,Watching the Packers play the Lions,3
Ham, Mashed Potatoes, Yams/Sweet Potatoes, Cranberry Sauce, Mac and Cheese,,,Cherry w/ ice cream,After 6 PM,Yes,Dinner rolls,Cook,Taking a nap,5
Mashed Potatoes, Yams/Sweet Potatoes, Green Bean Casserole, Mac and Cheese,,,,Cherry w/ ice cream,3-6,Yes,Dinner rolls,Cook,Playing card games with the family,1
Turkey, Ham, Mashed Potatoes, Yams/Sweet Potatoes, Stuffing/Dressing, Green Bean Casserole, Cranberry Sauce,Apple w/ ice cream,12-3,Yes,Dinner rolls,Cook,Watching the Packers play the Lions,5
Turkey, Ham, Mashed Potatoes, Cranberry Sauce, Mac and Cheese,,,Pie isn't for me..,After 6 PM,Yes,Dinner rolls,Cook,Something else...,1
Turkey, Mashed Potatoes, Yams/Sweet Potatoes, Stuffing/Dressing, Green Bean Casserole, Cranberry Sauce, Mac and Cheese,Pumpkin w/ Whipped Cream,3-6,No,Dinner rolls,Cook,Playing card games with the family,5
Turkey, Mashed Potatoes, Stuffing/Dressing, Cranberry Sauce, Mac and Cheese,,,Apple w/ ice cream,After 6 PM,Yes,Dinner rolls,Cook,Watching the Packers play the Lions,5
Turkey, Ham, Mashed Potatoes, Mac and Cheese,,,,Apple w/ ice cream,3-6,Yes,Dinner rolls,Cook,Watching the Packers play the Lions,1
Mashed Potatoes, Stuffing/Dressing, Cranberry Sauce, Mac and Cheese,,,,Apple w/ ice cream,After 6 PM,Yes,Dinner rolls,Cook,Playing card games with the family,1
Turkey, Mashed Potatoes, Mac and Cheese,,,,,Pumpkin,3-6,Yes,Something else,Cook,Playing card games with the family,3
Turkey, Ham, Mashed Potatoes, Stuffing/Dressing, Mac and Cheese,,,Pumpkin w/ Whipped Cream,After 6 PM,No,Dinner rolls,Cook,Playing card games with the family,4
Turkey, Ham, Mashed Potatoes, Stuffing/Dressing, Green Bean Casserole, Cranberry Sauce, Mac and Cheese,Pumpkin w/ Whipped Cream,3-6,No,Dinner rolls,Cook,Something else...,2
Turkey, Ham, Cranberry Sauce,,,,,Cherry w/ ice cream,12-3,Yes,Cornbread,Clean,Something else...,1
Ham, Mashed Potatoes, Yams/Sweet Potatoes, Mac and Cheese,,,,Pumpkin w/ Whipped Cream,After 6 PM,No,Dinner rolls,Clean,Watching the Packers play the Lions,4
Turkey, Ham, Mashed Potatoes, Mac and Cheese,,,,Apple w/ ice cream,3-6,Yes,Biscuits,Cook,Something else...,1
Turkey, Ham, Mashed Potatoes, Yams/Sweet Potatoes, Stuffing/Dressing, Cranberry Sauce, Mac and Cheese,Pecan,12-3,Yes,None,Cook,Playing card games with the family,5
Turkey, Ham, Mashed Potatoes, Stuffing/Dressing, Green Bean Casserole, Cranberry Sauce, Mac and Cheese,Apple,12-3,No,Cornbread,Cook,Watching the Packers play the Lions,5
Ham, Mashed Potatoes, Yams/Sweet Potatoes, Stuffing/Dressing,,,,Apple,3-6,No,Cornbread,Clean,Watching the Packers play the Lions,3
Turkey, Mashed Potatoes, Stuffing/Dressing, Green Bean Casserole, Mac and Cheese,,,Pumpkin,3-6,No,Dinner rolls,Cook,Watching the Packers play the Lions,2
Turkey, Ham, Mac and Cheese,,,,,Pie isn't for me..,12-3,No,Cornbread,Clean,Playing card games with the family,3
Turkey, Ham, Mashed Potatoes, Stuffing/Dressing, Mac and Cheese,,,Apple,After 6 PM,No,Dinner rolls,Clean,Something else...,3
Turkey, Ham, Mashed Potatoes, Stuffing/Dressing, Cranberry Sauce,,,Apple,After 6 PM,Yes,Something else,Cook,Playing card games with the family,5
Turkey, Mashed Potatoes, Stuffing/Dressing, Mac and Cheese,,,,Pumpkin w/ Whipped Cream,3-6,No,Dinner rolls,Cook,Playing card games with the family,4
Mashed Potatoes, Yams/Sweet Potatoes, Green Bean Casserole, Mac and Cheese,,,,Pumpkin,3-6,Yes,Biscuits,Clean,Watching the Packers play the Lions,4
Ham, Stuffing/Dressing, Mac and Cheese,,,,,Pecan,After 6 PM,Yes,Dinner rolls,Cook,Something else...,2
Turkey, Mashed Potatoes, Cranberry Sauce,,,,,Apple w/ ice cream,3-6,Yes,Cornbread,Cook,Something else...,4
Turkey, Mashed Potatoes, Green Bean Casserole,,,,,Apple,3-6,No,Cornbread,Cook,Playing card games with the family,3
Turkey, Ham, Mashed Potatoes, Yams/Sweet Potatoes, Stuffing/Dressing, Green Bean Casserole, Cranberry Sauce,Apple,3-6,Yes,Dinner rolls,Cook,Watching the Packers play the Lions,4
Turkey, Ham, Mashed Potatoes, Yams/Sweet Potatoes, Stuffing/Dressing, Cranberry Sauce,,Apple w/ ice cream,12-3,Yes,Dinner rolls,Cook,Playing card games with the family,1
Turkey, Mac and Cheese,,,,,,Apple,12-3,No,Dinner rolls,Cook,Something else...,2
Turkey, Ham, Stuffing/Dressing, Green Bean Casserole, Mac and Cheese,,,Pumpkin w/ Whipped Cream,12-3,No,Dinner rolls,Cook,Playing card games with the family,5
Turkey, Mashed Potatoes, Yams/Sweet Potatoes, Stuffing/Dressing, Green Bean Casserole, Cranberry Sauce, Mac and Cheese,Pumpkin w/ Whipped Cream,12-3,No,Biscuits,Cook,Watching the Packers play the Lions,5
Turkey, Mashed Potatoes, Yams/Sweet Potatoes, Green Bean Casserole,,,,Apple w/ ice cream,After 6 PM,Yes,Dinner rolls,Cook,Watching the parade,2
Turkey, Ham, Mashed Potatoes, Yams/Sweet Potatoes, Stuffing/Dressing, Cranberry Sauce, Mac and Cheese,Pumpkin,After 6 PM,Yes,Dinner rolls,Cook,Playing card games with the family,3
Turkey, Mashed Potatoes, Green Bean Casserole, Mac and Cheese,,,,Apple w/ ice cream,3-6,No,Dinner rolls,Cook,Watching the parade,4
Stuffing/Dressing,,,,,,,Pie isn't for me..,After 6 PM,Yes,Biscuits,Cook,Taking a nap,3
Turkey, Mashed Potatoes, Mac and Cheese,,,,,Pie isn't for me..,12-3,Yes,Biscuits,Cook,Playing card games with the family,4
Mashed Potatoes, Yams/Sweet Potatoes, Mac and Cheese,,,,,Pumpkin w/ Whipped Cream,After 6 PM,Yes,Dinner rolls,Cook,Something else...,1
#VALUE!,,,,,,,,,,,,,
#VALUE!,,,,,,,,,,,,,
#VALUE!,,,,,,,,,,,,,
#VALUE!,,,,,,,,,,,,,
#VALUE!,,,,,,,,,,,,,
